Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Maize,Silt,30,275,37,691,Rice
Sorghum,Sandy,30,265,49,9,Millets
Tobacco,Silt,17,351,59,173,Millets
Rice,Clayey,23,349,29,867,Wheat
Wheat,Sandy,31,47,38,324,Soybean
Groundnut,Saline,33,278,62,230,Millets
Tobacco,Sandy,32,250,110,795,Millets
Cotton,Sandy,18,263,54,666,Millets
Maize,Silt,39,342,35,775,Rice
Maize,Sandy,14,259,50,798,Cotton
Barley,Saline,25,128,59,546,Millets
Millets,Saline,16,161,79,493,Millets
Tobacco,Saline,15,134,55,534,Millets
Rice,Sandy,30,346,99,65,Sorghum
Barley,Sandy,23,16,128,397,Millets
Rice,Clayey,30,389,128,681,Wheat
Groundnut,Loamy,31,139,144,541,Millets
Sorghum,Loamy,21,152,111,328,Millets
Millets,Loamy,33,139,115,881,Millets
Tobacco,Loamy,29,323,48,168,Millets
Millets,Loamy,11,220,44,590,Millets
Wheat,Sandy,34,292,148,633,Soybean
Groundnut,Silt,33,68,11,639,Millets
Rice,Loamy,20,234,74,369,Wheat
Soybean,Silt,27,262,18,490,Millets
Wheat,Clayey,33,14,100,354,Cotton
Barley,Clayey,26,197,3,607,Millets
Rice,Saline,24,64,32,102,Sorghum
Rice,Clayey,17,342,54,33,Wheat
Maize,Loamy,28,252,138,894,Cotton
Barley,Saline,15,112,35,80,Millets
Groundnut,Silt,10,170,18,438,Millets
Sorghum,Silt,10,23,31,303,Millets
Sorghum,Sandy,28,324,3,763,Millets
Wheat,Saline,38,386,135,595,Cotton
Cotton,Silt,32,345,95,57,Millets
Rice,Clayey,25,145,13,492,Wheat
Cotton,Silt,28,304,59,330,Millets
Tobacco,Silt,23,141,106,193,Millets
Rice,Silt,30,325,70,579,Sorghum
Groundnut,Silt,18,107,7,245,Millets
Maize,Clayey,29,383,40,16,Rice
Maize,Saline,15,12,60,110,Rice
Sorghum,Silt,40,91,68,733,Millets
Soybean,Clayey,36,291,110,249,Millets
Millets,Sandy,10,102,139,2,Millets
Barley,Sandy,21,120,51,754,Millets
Wheat,Loamy,33,383,2,238,Cotton
Maize,Sandy,39,14,16,163,Cotton
Wheat,Sandy,31,162,9,781,Soybean
Groundnut,Silt,34,171,131,538,Millets
Soybean,Saline,10,229,60,846,Millets
Groundnut,Loamy,33,391,144,55,Millets
Maize,Saline,37,340,61,574,Rice
Rice,Saline,18,182,14,62,Sorghum
Barley,Sandy,30,217,72,127,Millets
Cotton,Saline,15,345,41,470,Millets
Maize,Clayey,34,114,130,583,Rice
Barley,Saline,36,318,52,355,Millets
Barley,Sandy,14,373,90,353,Millets
Sorghum,Saline,21,281,130,8,Millets
Groundnut,Saline,26,270,48,469,Millets
Sorghum,Saline,34,353,133,351,Millets
Soybean,Sandy,14,120,29,330,Millets
Cotton,Clayey,23,325,23,818,Millets
Barley,Saline,31,341,22,55,Millets
Millets,Sandy,33,54,42,335,Millets
Millets,Silt,10,153,121,505,Millets
Soybean,Sandy,25,222,143,760,Millets
Barley,Saline,15,380,24,719,Millets
Tobacco,Clayey,25,324,3,585,Millets
Maize,Clayey,28,112,72,694,Rice
Millets,Clayey,36,282,111,93,Millets
Millets,Silt,21,183,144,545,Millets
Groundnut,Silt,29,346,98,27,Millets
Millets,Sandy,21,42,24,508,Millets
Maize,Loamy,10,371,145,638,Cotton
Rice,Sandy,21,362,8,612,Sorghum
Cotton,Saline,22,106,14,824,Millets
Cotton,Sandy,18,320,117,631,Millets
Millets,Loamy,24,196,125,291,Millets
Wheat,Clayey,25,389,23,139,Cotton
Rice,Clayey,17,311,65,859,Wheat
Soybean,Sandy,39,94,105,210,Millets
Tobacco,Sandy,14,94,114,632,Millets
Maize,Silt,36,355,57,579,Rice
Wheat,Sandy,35,66,120,668,Soybean
Cotton,Loamy,17,93,95,418,Millets
Barley,Sandy,17,81,24,276,Millets
Maize,Loamy,39,271,60,673,Cotton
Wheat,Sandy,23,65,96,517,Soybean
Rice,Saline,12,393,69,395,Sorghum
Rice,Saline,22,357,125,427,Sorghum
Cotton,Clayey,19,199,12,851,Millets
Soybean,Loamy,35,197,35,535,Millets
Sorghum,Saline,32,113,34,714,Millets
Barley,Loamy,20,74,128,415,Millets
Tobacco,Silt,26,328,96,545,Millets
Soybean,Clayey,24,54,61,63,Millets
Rice,Saline,39,160,79,320,Sorghum
Cotton,Silt,23,137,30,427,Millets
Millets,Saline,34,172,122,122,Millets
Sorghum,Loamy,18,150,144,136,Millets
Millets,Saline,18,346,107,509,Millets
Millets,Saline,16,74,37,543,Millets
Millets,Saline,16,35,150,852,Millets
Tobacco,Clayey,39,289,89,894,Millets
Barley,Saline,22,398,121,853,Millets
Cotton,Sandy,38,46,96,653,Millets
Maize,Sandy,14,101,44,739,Cotton
Groundnut,Loamy,14,112,50,245,Millets
Maize,Silt,16,159,99,380,Rice
Tobacco,Loamy,34,304,111,319,Millets
Wheat,Saline,30,347,98,655,Cotton
Barley,Loamy,11,238,58,65,Millets
Cotton,Saline,16,358,107,208,Millets
Millets,Loamy,28,174,27,435,Millets
Tobacco,Loamy,37,298,118,540,Millets
Sorghum,Loamy,28,280,108,416,Millets
Cotton,Sandy,14,306,56,465,Millets
Barley,Loamy,22,283,31,15,Millets
Wheat,Loamy,31,25,71,114,Cotton
Maize,Clayey,28,227,126,26,Rice
Cotton,Loamy,16,103,7,771,Millets
Cotton,Clayey,21,288,98,531,Millets
Sorghum,Loamy,13,242,150,550,Millets
Wheat,Loamy,35,382,105,879,Cotton
Rice,Loamy,34,400,17,868,Wheat
Maize,Clayey,35,193,85,165,Rice
Tobacco,Saline,11,265,64,707,Millets
Soybean,Clayey,40,138,44,809,Millets
Maize,Clayey,39,56,45,164,Rice
Maize,Saline,10,148,127,686,Rice
Soybean,Silt,15,298,89,175,Millets
Sorghum,Clayey,11,212,21,131,Millets
Barley,Loamy,32,130,83,747,Millets
Maize,Silt,21,339,146,687,Rice
Maize,Saline,19,337,48,453,Rice
Cotton,Loamy,25,211,30,494,Millets
Cotton,Loamy,18,288,138,764,Millets
Sorghum,Saline,35,162,17,346,Millets
Tobacco,Saline,20,100,106,460,Millets
Maize,Sandy,13,331,86,614,Cotton
Tobacco,Clayey,20,286,27,39,Millets
Millets,Saline,25,91,16,319,Millets
Groundnut,Clayey,17,41,81,195,Millets
Millets,Sandy,19,258,134,601,Millets
Maize,Saline,16,397,79,570,Rice
Rice,Clayey,30,389,111,671,Wheat
Soybean,Saline,28,256,4,773,Millets
Barley,Sandy,37,139,34,709,Millets
Cotton,Sandy,13,282,87,555,Millets
Groundnut,Clayey,18,44,121,625,Millets
Soybean,Silt,32,270,21,253,Millets
Groundnut,Loamy,23,20,48,207,Millets
Rice,Sandy,33,82,148,22,Sorghum
Groundnut,Clayey,21,319,69,814,Millets
Soybean,Clayey,25,330,98,552,Millets
Maize,Sandy,21,122,26,0,Cotton
Wheat,Saline,17,191,22,767,Cotton
Sorghum,Sandy,15,280,136,342,Millets
Cotton,Loamy,35,336,81,519,Millets
Millets,Sandy,14,378,31,727,Millets
Tobacco,Clayey,15,15,108,731,Millets
Sorghum,Silt,38,135,64,839,Millets
Millets,Sandy,17,195,4,112,Millets
Cotton,Saline,39,233,128,745,Millets
Millets,Loamy,19,232,103,720,Millets
Cotton,Sandy,23,257,19,56,Millets
Tobacco,Sandy,35,235,47,472,Millets
Cotton,Clayey,27,372,124,46,Millets
Maize,Clayey,19,300,27,667,Rice
Barley,Silt,11,200,39,543,Millets
Tobacco,Clayey,10,233,33,864,Millets
Millets,Saline,39,258,135,126,Millets
Wheat,Clayey,21,141,133,812,Cotton
Maize,Loamy,13,367,143,220,Cotton
Rice,Loamy,28,221,88,134,Wheat
Millets,Clayey,31,215,111,549,Millets
Sorghum,Silt,33,189,110,223,Millets
Sorghum,Silt,19,360,126,275,Millets
Groundnut,Sandy,25,34,139,286,Millets
Soybean,Sandy,32,196,17,297,Millets
Groundnut,Loamy,11,253,47,333,Millets
Soybean,Saline,25,178,19,751,Millets
Maize,Silt,35,199,64,591,Rice
Barley,Clayey,40,2,55,827,Millets
Cotton,Silt,27,311,128,399,Millets
Rice,Clayey,19,298,139,896,Wheat
Groundnut,Sandy,23,98,78,256,Millets
Sorghum,Clayey,38,159,51,330,Millets
Rice,Saline,13,396,83,660,Sorghum
Rice,Sandy,10,87,128,631,Sorghum
Tobacco,Silt,34,195,23,101,Millets
Wheat,Silt,15,176,124,162,Cotton
Wheat,Saline,22,283,75,672,Cotton
Soybean,Clayey,13,60,92,633,Millets
Sorghum,Saline,21,164,139,737,Millets
Rice,Clayey,34,117,89,542,Wheat
Maize,Loamy,21,28,63,90,Cotton
Rice,Clayey,30,369,43,806,Wheat
Cotton,Saline,19,353,110,199,Millets
Soybean,Sandy,10,80,33,758,Millets
Millets,Saline,36,251,108,81,Millets
Wheat,Loamy,37,336,30,395,Cotton
Groundnut,Loamy,29,185,30,692,Millets
Soybean,Silt,38,217,45,852,Millets
Maize,Sandy,28,281,102,518,Cotton
Sorghum,Loamy,16,217,60,66,Millets
Cotton,Silt,27,311,65,757,Millets
Maize,Clayey,36,316,25,455,Rice
Groundnut,Sandy,19,95,139,45,Millets
Groundnut,Loamy,38,309,53,288,Millets
Wheat,Loamy,10,227,10,268,Cotton
Sorghum,Loamy,26,201,73,680,Millets
Cotton,Sandy,38,332,17,167,Millets
Rice,Sandy,31,249,102,447,Sorghum
Sorghum,Sandy,36,260,136,405,Millets
Sorghum,Saline,40,396,76,4,Millets
Barley,Clayey,30,92,19,652,Millets
Millets,Loamy,33,390,119,218,Millets
Rice,Clayey,26,70,69,170,Wheat
Millets,Clayey,37,52,129,125,Millets
Soybean,Silt,40,166,13,760,Millets
Soybean,Sandy,36,272,20,109,Millets
Soybean,Silt,12,122,43,174,Millets
Rice,Saline,36,46,45,520,Sorghum
Barley,Saline,33,140,144,594,Millets
Soybean,Silt,22,59,141,540,Millets
Groundnut,Sandy,16,132,34,471,Millets
Wheat,Saline,11,307,52,421,Cotton
Rice,Silt,34,57,22,867,Sorghum
Millets,Saline,29,373,105,779,Millets
Tobacco,Sandy,15,233,129,523,Millets
Groundnut,Clayey,39,88,79,224,Millets
Barley,Sandy,32,250,37,660,Millets
Sorghum,Saline,24,22,15,79,Millets
Sorghum,Clayey,17,315,116,509,Millets
Groundnut,Loamy,38,268,109,216,Millets
Rice,Saline,34,159,3,277,Sorghum
Wheat,Silt,34,144,112,418,Cotton
Maize,Clayey,30,162,130,783,Rice
Wheat,Clayey,40,215,109,98,Cotton
Soybean,Loamy,28,376,117,131,Millets
Groundnut,Silt,24,393,78,636,Millets
Maize,Sandy,18,25,22,723,Cotton
Maize,Saline,22,139,76,851,Rice
Maize,Loamy,32,378,40,47,Cotton
Rice,Silt,10,47,3,123,Sorghum
Groundnut,Loamy,26,254,28,638,Millets
Wheat,Silt,21,44,61,641,Cotton
Tobacco,Silt,38,384,125,641,Millets
Soybean,Loamy,28,177,110,331,Millets
Rice,Saline,20,117,139,701,Sorghum
Maize,Clayey,25,131,12,634,Rice
Rice,Clayey,21,49,121,530,Wheat
Millets,Loamy,28,365,122,560,Millets
Millets,Sandy,24,351,9,764,Millets
Groundnut,Sandy,31,12,101,458,Millets
Cotton,Loamy,22,143,28,884,Millets
Cotton,Loamy,32,351,48,790,Millets
Barley,Saline,31,99,81,621,Millets
Tobacco,Loamy,24,169,80,28,Millets
Soybean,Clayey,29,167,37,570,Millets
Groundnut,Silt,22,166,44,558,Millets
Sorghum,Loamy,29,192,5,753,Millets
Rice,Clayey,25,331,81,50,Wheat
Maize,Silt,20,349,37,231,Rice
Millets,Silt,27,323,106,191,Millets
Cotton,Sandy,17,153,104,349,Millets
Wheat,Sandy,11,377,116,40,Soybean
Tobacco,Loamy,33,180,55,31,Millets
Wheat,Sandy,18,188,142,481,Soybean
Barley,Loamy,19,125,47,585,Millets
Maize,Loamy,24,299,118,724,Cotton
Wheat,Silt,25,360,72,689,Cotton
Groundnut,Loamy,31,119,41,200,Millets
Groundnut,Clayey,14,300,71,689,Millets
Rice,Clayey,23,60,7,179,Wheat
Tobacco,Sandy,38,227,78,387,Millets
Tobacco,Silt,12,209,36,379,Millets
Soybean,Sandy,24,361,39,613,Millets
Rice,Saline,15,16,36,670,Sorghum
Wheat,Loamy,21,161,99,574,Cotton
Soybean,Silt,22,220,126,714,Millets
Maize,Loamy,36,339,98,854,Cotton
Soybean,Loamy,17,295,134,683,Millets
Wheat,Saline,35,45,112,613,Cotton
Wheat,Loamy,38,15,136,687,Cotton
Groundnut,Clayey,24,381,129,267,Millets
Tobacco,Silt,32,361,26,710,Millets
Tobacco,Saline,10,226,62,268,Millets
Millets,Loamy,17,159,46,568,Millets
Wheat,Sandy,16,74,137,460,Soybean
Soybean,Sandy,19,111,142,474,Millets
Rice,Saline,14,114,126,824,Sorghum
Rice,Loamy,15,101,106,40,Wheat
Tobacco,Loamy,34,77,124,553,Millets
Rice,Sandy,23,225,117,642,Sorghum
Barley,Loamy,18,307,47,684,Millets
Cotton,Clayey,39,329,50,611,Millets
Sorghum,Sandy,14,123,122,351,Millets
Cotton,Clayey,14,315,84,112,Millets
Cotton,Saline,12,80,73,276,Millets
Soybean,Loamy,21,367,131,47,Millets
Barley,Saline,27,209,83,799,Millets
Wheat,Loamy,24,13,123,512,Cotton
Wheat,Clayey,15,50,102,298,Cotton
Groundnut,Sandy,21,232,132,393,Millets
Sorghum,Silt,21,388,50,431,Millets
Wheat,Silt,24,91,11,851,Cotton
Millets,Saline,24,188,51,602,Millets
Groundnut,Silt,13,223,143,687,Millets
Maize,Loamy,22,250,27,16,Cotton
Groundnut,Saline,14,361,48,172,Millets
Cotton,Sandy,33,44,95,430,Millets
Sorghum,Clayey,11,194,31,727,Millets
Soybean,Saline,34,9,101,843,Millets
Tobacco,Sandy,24,246,90,193,Millets
Groundnut,Sandy,13,32,42,806,Millets
Rice,Silt,11,301,7,266,Sorghum
Rice,Clayey,15,172,20,730,Wheat
Cotton,Sandy,23,333,142,74,Millets
Cotton,Clayey,34,325,91,390,Millets
Sorghum,Silt,10,219,77,594,Millets
Sorghum,Clayey,26,95,137,154,Millets
Rice,Sandy,27,84,145,326,Sorghum
Maize,Clayey,19,142,57,604,Rice
Millets,Loamy,17,282,70,197,Millets
Soybean,Saline,17,395,16,246,Millets
Tobacco,Loamy,26,246,95,250,Millets
Wheat,Clayey,39,396,59,81,Cotton
Barley,Sandy,38,326,56,74,Millets
Cotton,Clayey,39,277,71,316,Millets
Rice,Silt,24,183,130,330,Sorghum
Maize,Silt,10,208,149,559,Rice
Groundnut,Sandy,13,136,109,622,Millets
Cotton,Loamy,26,187,49,341,Millets
Millets,Saline,36,382,143,297,Millets
Millets,Saline,10,197,86,198,Millets
Tobacco,Silt,10,241,65,481,Millets
Tobacco,Silt,40,228,16,850,Millets
Cotton,Silt,30,75,75,363,Millets
Cotton,Clayey,37,340,118,198,Millets
Tobacco,Loamy,18,137,86,474,Millets
Barley,Clayey,24,57,135,199,Millets
Groundnut,Saline,13,38,139,442,Millets
Groundnut,Saline,11,355,90,405,Millets
Sorghum,Loamy,14,56,39,189,Millets
Barley,Sandy,16,351,63,520,Millets
Cotton,Loamy,39,379,43,866,Millets
Tobacco,Loamy,15,260,7,23,Millets
Rice,Saline,36,35,56,887,Sorghum
Tobacco,Loamy,27,45,62,771,Millets
Sorghum,Sandy,25,379,109,555,Millets
Wheat,Saline,23,157,129,503,Cotton
Soybean,Sandy,15,212,98,466,Millets
Groundnut,Clayey,11,256,58,473,Millets
Wheat,Sandy,36,239,27,725,Soybean
Soybean,Sandy,12,186,90,606,Millets
Tobacco,Saline,12,287,64,895,Millets
Millets,Saline,30,52,9,169,Millets
Soybean,Loamy,17,35,9,899,Millets
Rice,Silt,32,187,45,102,Sorghum
Millets,Loamy,26,12,78,389,Millets
Groundnut,Sandy,12,122,36,545,Millets
Sorghum,Clayey,32,14,5,487,Millets
Sorghum,Loamy,16,259,26,91,Millets
Soybean,Clayey,29,118,98,116,Millets
Maize,Sandy,32,48,90,772,Cotton
Wheat,Sandy,31,167,67,754,Soybean
Cotton,Loamy,24,305,115,119,Millets
Tobacco,Clayey,40,53,118,150,Millets
Sorghum,Saline,34,168,21,121,Millets
Maize,Clayey,35,51,35,429,Rice
Wheat,Sandy,23,255,113,883,Soybean
Rice,Saline,35,306,9,37,Sorghum
Sorghum,Silt,22,119,129,729,Millets
Rice,Loamy,26,315,40,749,Wheat
Maize,Clayey,28,66,45,151,Rice
Groundnut,Silt,28,175,47,76,Millets
Rice,Saline,24,365,85,798,Sorghum
Barley,Silt,14,217,25,40,Millets
Wheat,Loamy,10,53,29,93,Cotton
Soybean,Saline,18,319,25,605,Millets
Wheat,Saline,12,88,48,512,Cotton
Sorghum,Sandy,40,218,26,754,Millets
Wheat,Clayey,21,30,115,572,Cotton
Sorghum,Sandy,24,396,63,665,Millets
Maize,Silt,36,335,70,48,Rice
